[2021-05-21 14:23:17][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:21][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:21][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:21][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:22][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:22][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:32][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:32][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:32][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:32][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:33][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:39][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:39][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:39][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:40][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:40][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:45][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:45][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:24:45][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:24:45][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:24:46][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:24:49][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:24:49][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:49][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:49][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:50][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.AllMenuActivity
[2021-05-21 14:24:57][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:57][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:24:57][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:24:57][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:24:58][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:24:59][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:24:59][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:17][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:17][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:22][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewForThirdPageActivity
[2021-05-21 14:27:22][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
